Company,Domain,Funding,Why_Fit
Kombo,kombo.dev,Series A,Unified API for HRIS/ATS/Payroll - like Rutter. B2B dev tool selling to HR tech. Need outbound to enterprises.
NationGraph,nationgraph.com,Series A,Public sector sales intelligence platform. Serves sales teams - they need signal-based outbound to gov buyers.
QuadSci,quadsci.ai,Series A,AI products for B2B Software GTM teams. Directly in the GTM space - know the pain firsthand.
Guidde,guidde.com,Series B,AI adoption platform creating video guides. B2B enterprise tool needs outbound to scale.
Braintrust,braintrust.dev,Series B,AI observability platform. Dev tool selling to engineering teams - need outbound for enterprise.
SPRX,sprx.tax,Series B,R&D tax credit automation. B2B selling to CFOs/finance - outbound dependent.
Avantos,avantos.ai,Series A,AI-native operating system for client management at financial institutions. Enterprise B2B.
Reco,reco.ai,Series B,Dynamic SaaS Security platform. Selling to security teams - similar to Tonic.ai motion.
Take2 AI,take2.ai,Series A,AI agents for healthcare recruiting. Vertical SaaS - needs targeted outbound.
Hauler Hero,haulerhero.com,Series A,AI waste management software. Vertical SaaS selling to operators - outbound critical.
